text,created_at,updated_at,original,paredao
salto pa,15/03/2022 00:53:45,14/03/2022 21:54:05,RT @tracklist: O salto que o PA deu  #BBB22 https://t.co/C2fKEdOMJm,
lollipop puto manda cara paredao volta carro,15/03/2022 00:53:45,14/03/2022 21:54:05,RT @tainahcm: Lollipop puto que mesmo quando manda o cara pro paredao ele volta com um carro #BBB22,
salto pa,15/03/2022 00:53:44,14/03/2022 21:54:05,RT @tracklist: O salto que o PA deu  #BBB22 https://t.co/C2fKEdOMJm,
scooby ficar votando faz irmao velho,15/03/2022 00:53:44,14/03/2022 21:54:05,RT @LeticiaBufoni: So o Scooby mesmo pra fazer eu ficar votando no BBB  Oq a gente n faz pelo irmao mais velho  #ForaViny https://t.co/gH...,#foravyni
scooby acaba informar lider coloca dg pa arthur vip percebeu gustavo posicionando,15/03/2022 00:53:44,14/03/2022 21:54:05,"RT @Dantinhas: Scooby acaba de informar que se for lider, so coloca DG, PA e Arthur no VIP, que percebeu que o Gustavo esta se posicionando...",
cade torcida arthur deem fav vamos seguir,15/03/2022 00:53:43,14/03/2022 21:54:05,RT @Carlaas76327310: Cade a torcida do Arthur? deem fav e rt aqui! VAMOS NOS SEGUIR!   #BBB22,
pa inacreditavel,15/03/2022 00:53:43,14/03/2022 21:54:05,RT @ZAMENZA: O PA e inacreditavel. #BBB22 https://t.co/QLFu5WbxMv,
pessoa indicada 3x paredao ficou indignada sempre focavam msm pessoa ir paredao,15/03/2022 00:53:43,14/03/2022 21:54:05,"RT @bia_masullo: A pessoa foi indicada 3x ao paredao, ficou indignada! 
Disse q eles sempre focavam na msm pessoa pra ir ao paredao, q era...",
precisamos arthur bebado vezes,15/03/2022 00:53:43,14/03/2022 21:54:05,RT @falatumandita: Precisamos do Arthur bebado mais vezes!  #bbb22 https://t.co/8vd03rAq0U,
natalia soltou aah feliz ganhou carro,15/03/2022 00:53:42,14/03/2022 21:54:05,"RT @PatriqueUiliam: NATALIA SOLTOU ESSA:

""...Aah gente nao to tao feliz nao, pq ele ja ganhou um carro...""

#bbb22 #RedeBBB  #ForaVinny #F...",
viny dancinha tiktok meio prova,15/03/2022 00:53:42,14/03/2022 21:54:05,"RT @WilquerVitor: O Viny fazendo dancinha de tiktok no meio da prova 

#BBB22 #Fantastico https://t.co/LdXdrjWCDQ",
eliezer cara vyni sugardaddy,15/03/2022 00:53:42,14/03/2022 21:54:05,Eliezer tem cara de quem vai fazer o vyni de sugardaddy aqui fora #bbb22,
dou pulo assim simplesmente movo 5cm maximo,15/03/2022 00:53:42,14/03/2022 21:54:05,RT @babi: Gente se eu dou um pulo assim eu simplesmente me movo 5cm no maximo #BBB22  https://t.co/4t8ZgMjcvE,
